2.196.203.157 [2022-12-15 05:45:12.379000] oe_8143566298343 "GET /eden/v2/get?platform=Mac%20OS%20X&appVersion=Web_3.5&country=Italy&language=IT HTTP/1.0" 501 1409 "-" 30057 "Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_0) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/57.0.847.0 Safari/532.2" 80
77.0.38.137 [2022-12-15 06:03:20.155000] oe_3273112982988 "GET /eden/v2/get?platform=Windows&appVersion=Web_3.5&country=Germany&language=DE HTTP/1.0" 200 792 "-" 47 "Opera/8.74.(Windows NT 6.1; uk-UA) Presto/2.9.175 Version/10.00" 80
77.0.38.137 [2022-12-15 06:03:21.021000] oe_3273112982988 "POST /eden/v2/get?platform=Windows&appVersion=Web_3.5&country=Germany&language=DE HTTP/1.0" 200 1963 "/eden/v2/get" 23 "Opera/8.74.(Windows NT 6.1; uk-UA) Presto/2.9.175 Version/10.00" 80
2.34.251.121 [2022-12-15 06:10:23.363000] oe_3860205207425 "GET /eden/v2/get?platform=Android&appVersion=Android_8.3&country=Italy&language=IT HTTP/1.0" 200 2978 "-" 72 "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/20.0.842.0 Safari/535.0" 80
2.34.251.121 [2022-12-15 06:10:24.235000] oe_3860205207425 "POST /eden/v2/get?platform=Android&appVersion=Android_8.3&country=Italy&language=IT HTTP/1.0" 200 438 "/eden/v2/get" 27 "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/20.0.842.0 Safari/535.0" 80
2.34.251.121 [2022-12-15 06:10:25.908000] oe_3860205207425 "GET /eden/v2/get?platform=Android&appVersion=Android_8.3&country=Italy&language=IT HTTP/1.0" 200 323 "/eden/v2/get" 52 "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/20.0.842.0 Safari/535.0" 80
2.34.251.121 [2022-12-15 06:10:26.281000] oe_3860205207425 "GET /eden/v2/home?platform=Android&appVersion=Android_8.3&country=Italy&language=IT HTTP/1.0" 200 824 "/eden/v2/get" 162 "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/20.0.842.0 Safari/535.0" 80
2.34.251.121 [2022-12-15 06:10:28.477000] oe_3860205207425 "GET /eden/v2/get?platform=Android&appVersion=Android_8.3&section=account&subsection=catalog&country=Italy&language=IT HTTP/1.0" 200 1138 "/eden/v2/home" 28 "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/20.0.842.0 Safari/535.0" 80
2.34.251.121 [2022-12-15 06:10:28.918000] oe_3860205207425 "GET /eden/v2/options?language=IT&filter=standard&appVersion=Android_8.3&osVersion=20.0.842&platform=Android&country=Italy HTTP/1.0" 200 849 "/eden/v2/get" 33 "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/20.0.842.0 Safari/535.0" 80
2.34.251.121 [2022-12-15 06:10:30.024000] oe_3860205207425 "GET /eden/v2/get?platform=Android&appVersion=Android_8.3&section=account&subsection=catalog&country=Italy&language=IT HTTP/1.0" 200 750 "/eden/v2/options" 32 "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/20.0.842.0 Safari/535.0" 80
2.34.251.121 [2022-12-15 06:10:30.242000] oe_3860205207425 "GET /eden/v2/manageContractOptions?language=IT&id=_ID_&operation=Subscribe&activationMode=0&filter=standard&appVersion=Android_8.3&osVersion=20.0.842&platform=Android&country=_COUNTRY HTTP/1.0" 200 2954 "/eden/v2/get" 67 "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/20.0.842.0 Safari/535.0" 80
2.34.251.121 [2022-12-15 06:10:30.396000] oe_3860205207425 "GET /eden/v2/get?platform=Android&appVersion=Android_8.3&section=account&subsection=catalog&country=Italy&language=IT HTTP/1.0" 200 4528 "/eden/v2/manageContractOptions" 37 "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/20.0.842.0 Safari/535.0" 80
2.34.251.121 [2022-12-15 06:10:30.995000] oe_3860205207425 "POST /eden/v2/subscribePlan?language=IT&id=_ID_&appVersion=Android_8.3&osVersion=20.0.842&platform=Android&country=Italy HTTP/1.0" 500 1036 "/eden/v2/get" 14 "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/20.0.842.0 Safari/535.0" 80
91.213.21.187 [2022-12-15 06:11:19.099000] oe_0065135723842 "GET /eden/v2/get?platform=iOS&appVersion=iOS_8.1&country=Germany&language=DE HTTP/1.0" 500 142 "-" 56 "Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; ayc-PE) AppleWebKit/533.27.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6533.27.3" 80
84.30.137.119 [2022-12-15 06:13:47.507000] oe_0997785317611 "GET /eden/v2/get?platform=Android&appVersion=Android_8.3&country=Netherlands&language=NL HTTP/1.0" 200 582 "-" 49 "Mozilla/5.0 (Android 2.3.5; Mobile; rv:19.0) Gecko/19.0 Firefox/19.0" 80
84.30.137.119 [2022-12-15 06:13:48.785000] oe_0997785317611 "POST /eden/v2/get?platform=Android&appVersion=Android_8.3&country=Netherlands&language=NL HTTP/1.0" 200 419 "/eden/v2/get" 17 "Mozilla/5.0 (Android 2.3.5; Mobile; rv:19.0) Gecko/19.0 Firefox/19.0" 80
84.30.137.119 [2022-12-15 06:13:50.463000] oe_0997785317611 "GET /eden/v2/get?platform=Android&appVersion=Android_8.3&country=Netherlands&language=NL HTTP/1.0" 200 858 "/eden/v2/get" 86 "Mozilla/5.0 (Android 2.3.5; Mobile; rv:19.0) Gecko/19.0 Firefox/19.0" 80
84.30.137.119 [2022-12-15 06:13:50.796000] oe_0997785317611 "GET /eden/v2/home?platform=Android&appVersion=Android_8.3&country=Netherlands&language=NL HTTP/1.0" 200 536 "/eden/v2/get" 97 "Mozilla/5.0 (Android 2.3.5; Mobile; rv:19.0) Gecko/19.0 Firefox/19.0" 80
84.30.137.119 [2022-12-15 06:13:52.820000] oe_0997785317611 "GET /eden/v2/help?platform=Android&appVersion=Android_8.3&country=Netherlands&language=NL HTTP/1.0" 200 944 "/eden/v2/home" 18 "Mozilla/5.0 (Android 2.3.5; Mobile; rv:19.0) Gecko/19.0 Firefox/19.0" 80
78.211.156.38 [2022-12-15 06:14:20.238000] oe_1007047781820 "GET /eden/v2/get?platform=Android&appVersion=Android_8.3&country=France&language=FR HTTP/1.0" 200 326 "-" 13 "Mozilla/5.0 (Android 11; Mobile; rv:49.0) Gecko/49.0 Firefox/49.0" 80
78.211.156.38 [2022-12-15 06:14:20.268000] oe_1007047781820 "POST /eden/v2/get?platform=Android&appVersion=Android_8.3&country=France&language=FR HTTP/1.0" 200 2530 "/eden/v2/get" 47 "Mozilla/5.0 (Android 11; Mobile; rv:49.0) Gecko/49.0 Firefox/49.0" 80
78.211.156.38 [2022-12-15 06:14:21.928000] oe_1007047781820 "GET /eden/v2/get?platform=Android&appVersion=Android_8.3&country=France&language=FR HTTP/1.0" 200 574 "/eden/v2/get" 96 "Mozilla/5.0 (Android 11; Mobile; rv:49.0) Gecko/49.0 Firefox/49.0" 80
78.211.156.38 [2022-12-15 06:14:22.288000] oe_1007047781820 "GET /eden/v2/home?platform=Android&appVersion=Android_8.3&country=France&language=FR HTTP/1.0" 200 613 "/eden/v2/get" 86 "Mozilla/5.0 (Android 11; Mobile; rv:49.0) Gecko/49.0 Firefox/49.0" 80
78.211.156.38 [2022-12-15 06:14:24.610000] oe_1007047781820 "GET /eden/v2/get?platform=Android&appVersion=Android_8.3&section=account&subsection=catalog&country=France&language=FR HTTP/1.0" 200 1202 "/eden/v2/home" 253 "Mozilla/5.0 (Android 11; Mobile; rv:49.0) Gecko/49.0 Firefox/49.0" 80
78.211.156.38 [2022-12-15 06:14:25.270000] oe_1007047781820 "GET /eden/v2/options?language=FR&filter=standard&appVersion=Android_8.3&osVersion=49.0&platform=Android&country=France HTTP/1.0" 200 583 "/eden/v2/get" 11 "Mozilla/5.0 (Android 11; Mobile; rv:49.0) Gecko/49.0 Firefox/49.0" 80
78.211.156.38 [2022-12-15 06:14:27.247000] oe_1007047781820 "GET /eden/v2/get?platform=Android&appVersion=Android_8.3&section=account&subsection=catalog&country=France&language=FR HTTP/1.0" 200 510 "/eden/v2/options" 62 "Mozilla/5.0 (Android 11; Mobile; rv:49.0) Gecko/49.0 Firefox/49.0" 80
78.211.156.38 [2022-12-15 06:14:27.746000] oe_1007047781820 "GET /eden/v2/manageContractOptions?language=FR&id=_ID_&operation=Subscribe&activationMode=0&filter=standard&appVersion=Android_8.3&osVersion=49.0&platform=Android&country=_COUNTRY HTTP/1.0" 200 609 "/eden/v2/get" 41 "Mozilla/5.0 (Android 11; Mobile; rv:49.0) Gecko/49.0 Firefox/49.0" 80
78.211.156.38 [2022-12-15 06:14:30.021000] oe_1007047781820 "GET /eden/v2/get?platform=Android&appVersion=Android_8.3&section=account&subsection=catalog&country=France&language=FR HTTP/1.0" 200 445 "/eden/v2/manageContractOptions" 97 "Mozilla/5.0 (Android 11; Mobile; rv:49.0) Gecko/49.0 Firefox/49.0" 80
78.211.156.38 [2022-12-15 06:14:30.488000] oe_1007047781820 "POST /eden/v2/subscribePlan?language=FR&id=_ID_&appVersion=Android_8.3&osVersion=49.0&platform=Android&country=France HTTP/1.0" 200 173 "/eden/v2/get" 45 "Mozilla/5.0 (Android 11; Mobile; rv:49.0) Gecko/49.0 Firefox/49.0" 80
