country,country_code,city,latitude,longitude,geo_point
China,CN,Qingzhou,26.4837,117.925,"{'type': 'point', 'coordinates': [26.4837, 117.925]}"
China,CN,Changqiao (Xuhui Qu),31.1694,121.408,"{'type': 'point', 'coordinates': [31.1694, 121.408]}"
China,CN,Beijing,39.9042,116.407,"{'type': 'point', 'coordinates': [39.9042, 116.407]}"
China,CN,Haidian (Haidian Qu),39.9832,116.316,"{'type': 'point', 'coordinates': [39.9832, 116.316]}"
China,CN,Dahutong,39.1462,117.182,"{'type': 'point', 'coordinates': [39.1462, 117.182]}"
China,CN,Bieligutai,43.3782,115.059,"{'type': 'point', 'coordinates': [43.3782, 115.059]}"
China,CN,Borong,48.3947,124.494,"{'type': 'point', 'coordinates': [48.3947, 124.494]}"
China,CN,Zhangzhou (Neimeng),24.6391,117.199,"{'type': 'point', 'coordinates': [24.6391, 117.199]}"
China,CN,Jining,41.0275,113.106,"{'type': 'point', 'coordinates': [41.0275, 113.106]}"
China,CN,Bijie,27.3019,105.286,"{'type': 'point', 'coordinates': [27.3019, 105.286]}"
China,CN,Mingshan,47.6769,131.073,"{'type': 'point', 'coordinates': [47.6769, 131.073]}"
China,CN,Hailin,44.5715,129.385,"{'type': 'point', 'coordinates': [44.5715, 129.385]}"
China,CN,Harbin,45.75,126.65,"{'type': 'point', 'coordinates': [45.75, 126.65]}"
China,CN,Wuchang,44.9275,127.16,"{'type': 'point', 'coordinates': [44.9275, 127.16]}"
China,CN,Gaoxian,35.7191,111.42,"{'type': 'point', 'coordinates': [35.7191, 111.42]}"
China,CN,Lianhu,34.2585,108.924,"{'type': 'point', 'coordinates': [34.2585, 108.924]}"
China,CN,Yintai,35.394,109.188,"{'type': 'point', 'coordinates': [35.394, 109.188]}"
China,CN,Qujiang,34.1932,108.988,"{'type': 'point', 'coordinates': [34.1932, 108.988]}"
China,CN,Yangchun,33.0332,106.901,"{'type': 'point', 'coordinates': [33.0332, 106.901]}"
China,CN,Dahekan,33.0411,107.036,"{'type': 'point', 'coordinates': [33.0411, 107.036]}"
China,CN,Ankang,32.68,109.017,"{'type': 'point', 'coordinates': [32.68, 109.017]}"
China,CN,Xincheng,34.2632,108.95,"{'type': 'point', 'coordinates': [34.2632, 108.95]}"
China,CN,Zhangjiabao,34.3291,108.937,"{'type': 'point', 'coordinates': [34.3291, 108.937]}"
China,CN,Wuxiang,33.1864,107.049,"{'type': 'point', 'coordinates': [33.1864, 107.049]}"
China,CN,Sanyuan Chengguanzhen,34.6147,108.928,"{'type': 'point', 'coordinates': [34.6147, 108.928]}"
China,CN,Zhangbagou,34.2129,108.88,"{'type': 'point', 'coordinates': [34.2129, 108.88]}"
China,CN,Jinggan,34.53,108.834,"{'type': 'point', 'coordinates': [34.53, 108.834]}"
China,CN,Chifeng,42.2683,118.964,"{'type': 'point', 'coordinates': [42.2683, 118.964]}"
China,CN,Xiangfang,45.7122,126.66,"{'type': 'point', 'coordinates': [45.7122, 126.66]}"
China,CN,Yulin,46.11,126.278,"{'type': 'point', 'coordinates': [46.11, 126.278]}"
China,CN,Zhoukou,33.6333,114.633,"{'type': 'point', 'coordinates': [33.6333, 114.633]}"
China,CN,Shenzhen,22.5431,114.058,"{'type': 'point', 'coordinates': [22.5431, 114.058]}"
China,CN,Jianshelu,34.7534,113.606,"{'type': 'point', 'coordinates': [34.7534, 113.606]}"
China,CN,Huancheng,33.0145,112.539,"{'type': 'point', 'coordinates': [33.0145, 112.539]}"
China,CN,Nanjing,32.0617,118.778,"{'type': 'point', 'coordinates': [32.0617, 118.778]}"
China,CN,Zhengzhou,34.7578,113.649,"{'type': 'point', 'coordinates': [34.7578, 113.649]}"
China,CN,Huaihelu,34.7164,113.641,"{'type': 'point', 'coordinates': [34.7164, 113.641]}"
China,CN,Chengguan,35.4586,113.798,"{'type': 'point', 'coordinates': [35.4586, 113.798]}"
China,CN,Luoyang,34.6836,112.454,"{'type': 'point', 'coordinates': [34.6836, 112.454]}"
China,CN,Wangjing,39.9933,116.473,"{'type': 'point', 'coordinates': [39.9933, 116.473]}"
China,CN,Qinghe,40.0297,116.333,"{'type': 'point', 'coordinates': [40.0297, 116.333]}"
China,CN,Longtan,39.8837,116.427,"{'type': 'point', 'coordinates': [39.8837, 116.427]}"
China,CN,Beiqijia,40.1172,116.417,"{'type': 'point', 'coordinates': [40.1172, 116.417]}"
China,CN,Baizhifang,39.8829,116.352,"{'type': 'point', 'coordinates': [39.8829, 116.352]}"
China,CN,Daxing,39.7402,116.327,"{'type': 'point', 'coordinates': [39.7402, 116.327]}"
China,CN,Wangzuo,39.8076,116.156,"{'type': 'point', 'coordinates': [39.8076, 116.156]}"
China,CN,Dongba,39.9625,116.553,"{'type': 'point', 'coordinates': [39.9625, 116.553]}"
China,CN,"Guiyang, Guizhou",26.6459,106.631,"{'type': 'point', 'coordinates': [26.6459, 106.631]}"
China,CN,Guiyang,26.5833,106.717,"{'type': 'point', 'coordinates': [26.5833, 106.717]}"
China,CN,Zunyi,27.6867,106.907,"{'type': 'point', 'coordinates': [27.6867, 106.907]}"
China,CN,Xingyi,25.0962,104.906,"{'type': 'point', 'coordinates': [25.0962, 104.906]}"
France,FR,Issy-les-Moulineaux,48.8309,2.26582,"{'type': 'point', 'coordinates': [48.8309, 2.26582]}"
France,FR,Auzat-la-Combelle,45.4522,3.31825,"{'type': 'point', 'coordinates': [45.4522, 3.31825]}"
France,FR,Clermont-Ferrand,45.7772,3.08702,"{'type': 'point', 'coordinates': [45.7772, 3.08702]}"
France,FR,Niort,46.3156,-0.399344,"{'type': 'point', 'coordinates': [46.3156, -0.399344]}"
France,FR,Arles,43.6766,4.62778,"{'type': 'point', 'coordinates': [43.6766, 4.62778]}"
France,FR,Chamalières,45.7736,3.06703,"{'type': 'point', 'coordinates': [45.7736, 3.06703]}"
France,FR,Chadrac,45.0618,3.90261,"{'type': 'point', 'coordinates': [45.0618, 3.90261]}"
France,FR,Prémilhat,46.3134,2.53559,"{'type': 'point', 'coordinates': [46.3134, 2.53559]}"
France,FR,Gerzat,45.8258,3.14473,"{'type': 'point', 'coordinates': [45.8258, 3.14473]}"
France,FR,Beauzac,45.2591,4.09874,"{'type': 'point', 'coordinates': [45.2591, 4.09874]}"
France,FR,Artonne,46.0033,3.14399,"{'type': 'point', 'coordinates': [46.0033, 3.14399]}"
France,FR,Marsat,45.8764,3.08173,"{'type': 'point', 'coordinates': [45.8764, 3.08173]}"
France,FR,Montaigut,45.615,3.44896,"{'type': 'point', 'coordinates': [45.615, 3.44896]}"
France,FR,Nébouzat,45.7155,2.90489,"{'type': 'point', 'coordinates': [45.7155, 2.90489]}"
France,FR,Aurillac,44.9254,2.43983,"{'type': 'point', 'coordinates': [44.9254, 2.43983]}"
France,FR,Lyon,45.764,4.83566,"{'type': 'point', 'coordinates': [45.764, 4.83566]}"
France,FR,Beaumont,45.7517,3.08294,"{'type': 'point', 'coordinates': [45.7517, 3.08294]}"
France,FR,Charbonnier-les-Mines,45.4166,3.28513,"{'type': 'point', 'coordinates': [45.4166, 3.28513]}"
France,FR,Mozac,45.8939,3.09512,"{'type': 'point', 'coordinates': [45.8939, 3.09512]}"
France,FR,Arpajon-sur-Cère,44.9039,2.45664,"{'type': 'point', 'coordinates': [44.9039, 2.45664]}"
France,FR,Lamontgie,45.4745,3.33371,"{'type': 'point', 'coordinates': [45.4745, 3.33371]}"
France,FR,Moissat Haut,45.7756,3.35376,"{'type': 'point', 'coordinates': [45.7756, 3.35376]}"
France,FR,Étroussat,46.2186,3.22106,"{'type': 'point', 'coordinates': [46.2186, 3.22106]}"
France,FR,Saint-Bonnet-de-Rochefort,46.1463,3.13826,"{'type': 'point', 'coordinates': [46.1463, 3.13826]}"
France,FR,Escurolles,46.1432,3.26543,"{'type': 'point', 'coordinates': [46.1432, 3.26543]}"
France,FR,Effiat,46.04,3.25554,"{'type': 'point', 'coordinates': [46.04, 3.25554]}"
France,FR,Montbeugny,46.5288,3.48895,"{'type': 'point', 'coordinates': [46.5288, 3.48895]}"
France,FR,Mezel,45.7551,3.24225,"{'type': 'point', 'coordinates': [45.7551, 3.24225]}"
France,FR,Pierrefitte-sur-Loire,46.5065,3.81603,"{'type': 'point', 'coordinates': [46.5065, 3.81603]}"
France,FR,Commentry,46.2888,2.74163,"{'type': 'point', 'coordinates': [46.2888, 2.74163]}"
France,FR,Peschadoires,45.8262,3.49255,"{'type': 'point', 'coordinates': [45.8262, 3.49255]}"
France,FR,Saint-Loup,46.3512,3.37793,"{'type': 'point', 'coordinates': [46.3512, 3.37793]}"
France,FR,Serbannes,46.0987,3.35868,"{'type': 'point', 'coordinates': [46.0987, 3.35868]}"
France,FR,Saint-Jean-de-Védas,43.5776,3.82603,"{'type': 'point', 'coordinates': [43.5776, 3.82603]}"
France,FR,Montpellier,43.6109,3.87635,"{'type': 'point', 'coordinates': [43.6109, 3.87635]}"
France,FR,Goudargues,44.2151,4.46631,"{'type': 'point', 'coordinates': [44.2151, 4.46631]}"
France,FR,Bagnols-sur-Cèze,44.1626,4.61974,"{'type': 'point', 'coordinates': [44.1626, 4.61974]}"
France,FR,Latour-Bas-Elne,42.6074,3.00153,"{'type': 'point', 'coordinates': [42.6074, 3.00153]}"
France,FR,Sant Andreu de Sureda,42.552,2.97129,"{'type': 'point', 'coordinates': [42.552, 2.97129]}"
France,FR,Banyuls-dels-Aspres,42.5661,2.86607,"{'type': 'point', 'coordinates': [42.5661, 2.86607]}"
France,FR,Aumont-Aubrac,44.7224,3.28385,"{'type': 'point', 'coordinates': [44.7224, 3.28385]}"
France,FR,Le Bosc,43.71,3.38465,"{'type': 'point', 'coordinates': [43.71, 3.38465]}"
France,FR,Soubès,43.7676,3.34654,"{'type': 'point', 'coordinates': [43.7676, 3.34654]}"
France,FR,Saint-André-de-Roquelongue,43.1136,2.8373,"{'type': 'point', 'coordinates': [43.1136, 2.8373]}"
France,FR,Sète,43.4028,3.69278,"{'type': 'point', 'coordinates': [43.4028, 3.69278]}"
France,FR,Nîmes,43.8367,4.35788,"{'type': 'point', 'coordinates': [43.8367, 4.35788]}"
