store,app_version,country,start_date,review,rate
Web,Web_5.5,France,2022-12-22 18:27:21,This app is really impressive.,1
Web,Web_5.5,France,2022-12-22 08:23:18,What a remrakable mobile app!,4
Web,Web_5.5,Netherlands,2022-12-22 08:06:22,I'm having difficulty accessing the app today.,5
iOS,iOS_3.1,Netherlands,2022-12-22 19:03:09,I'm havng truble accesing the ap today.,1
Web,Web_5.5,Netherlands,2022-12-22 11:48:59,I can't seem to get the ap to work for me today.,1
Android,Android_7.0,Netherlands,2022-12-22 08:01:15,The ap is not workng for me today and I don't know why.,2
iOS,iOS_3.1,Germany,2022-12-22 18:52:37,I can't seem to get the ap to work and I need it.,2
iOS,iOS_3.1,Germany,2022-12-22 08:30:21,I can't seem to get the ap to work and I need it.,4
Web,Web_5.5,Germany,2022-12-22 12:17:37,I'm havng truble with the ap today and it's a problem.,2
Android,Android_7.0,Germany,2022-12-22 18:38:10,The ap is not workng for me today and it's frustratng.,1
Android,Android_7.0,Germany,2022-12-22 11:31:31,It's frustratng that I can't conect to the ap right now.,2
Web,Web_5.5,Germany,2022-12-22 08:28:56,The ap is not respondng to my attempts to conect and it's irritatng.,1
Android,Android_7.0,Germany,2022-12-22 18:52:46,I can't seem to get the ap to work and I need it for work.,1
Android,Android_7.0,Germany,2022-12-22 12:09:33,I'm unable to log in to the app today.,1
Android,Android_7.0,Germany,2022-12-22 07:47:22,I'm unble to log in to the ap today and it's causng problems.,2
Web,Web_5.5,Germany,2022-12-22 18:25:45,I can't seem to get the ap to work for me today.,1
Android,Android_7.0,Germany,2022-12-22 11:26:24,I'm experincing conectivity issues with the ap today and it's inconvenint.,4
iOS,iOS_3.1,Germany,2022-12-22 07:53:13,The ap is not functionng for me today and I'm not sure why.,1
iOS,iOS_3.1,Germany,2022-12-22 12:37:13,It's inconvenint that I'm havng truble conecting to the ap today.,1
Android,Android_7.0,Germany,2022-12-22 19:13:30,I'm havng trouble with the ap today and I don't know why.,2
Android,Android_7.0,Germany,2022-12-22 11:52:35,The app is not workng for me today and I don't know why.,2
iOS,iOS_3.1,Germany,2022-12-22 12:08:41,I'm having trouble accessing the app today.,1
Web,Web_5.5,Germany,2022-12-22 19:25:17,I cannot establsh a connection with the ap right now and it's frustratng.,1
Android,Android_7.0,Germany,2022-12-22 19:22:49,I'm havng truble accesing the ap today.,3
Web,Web_5.5,Germany,2022-12-22 18:44:25,It's frustratng that I can't acces the ap and I need it to work.,2
Web,Web_5.5,Germany,2022-12-22 12:51:37,I cannot establsh a connection with the ap right now and it's frustratng.,2
Web,Web_5.5,Germany,2022-12-22 19:03:31,I'm unable to log in to the app today.,1
Android,Android_7.0,Germany,2022-12-22 11:11:04,The ap is not respondng to my attempts to conect and it's irritatng.,4
iOS,iOS_3.1,Germany,2022-12-22 19:32:27,The ap is not respondng to my attempts to conect and it's irritatng.,2
Web,Web_5.5,Germany,2022-12-22 08:19:45,I'm having trouble accessing the app today.,1
Android,Android_7.0,Germany,2022-12-22 12:21:26,I can't seem to log in to the ap and it's anoying.,2
Android,Android_7.0,Germany,2022-12-22 07:52:36,I cannot establsh a connection with the ap right now and it's frustratng.,1
iOS,iOS_3.1,Germany,2022-12-22 07:52:33,It's frustratng that I can't acces the ap and I need it to work.,1
Web,Web_5.5,Germany,2022-12-22 07:56:15,The ap is not respondng to my attempts to conect and it's irritatng.,1
iOS,iOS_3.1,Germany,2022-12-22 07:57:42,I am unable to connect to the app at the moment.,1
Android,Android_7.0,Germany,2022-12-22 21:14:52,The app seems to be down for me today.,1
Web,Web_5.5,Germany,2022-12-22 18:32:01,The ap is not functionng for me today and I'm not sure why.,1
Web,Web_5.5,Poland,2022-12-22 12:42:34,This is a top-notch mobile app.,5
Android,Android_7.0,Poland,2022-12-22 07:59:08,That's an outstnding mobile application!,3
Android,Android_7.0,Poland,2022-12-22 11:44:51,"you thought you were participating in a CTF, here is the flag: {DataVizChallenge: 2023}",5
