SAT_question,SAT_answer,SAT_score,start_date,store,app_version,CES_question,CES_answer,CES_score,NPS_question,NPS_answer,NPS_score
are you happy with you app?,very angry,-100,2022-12-25 11:30:36,iOS,iOS_3.1,how difficult was it to purchase your product?,neutral,0,would you recommend Orange?,5,-100
are you happy with you app?,not happy,-100,2022-12-25 19:39:10,iOS,iOS_3.1,how difficult was it to purchase your product?,difficult,-100,would you recommend Orange?,4,-100
are you happy with you app?,very angry,-100,2022-12-25 12:21:01,iOS,iOS_3.1,how difficult was it to purchase your product?,easy,100,would you recommend Orange?,2,-100
are you happy with you app?,very happy,100,2022-12-25 08:16:53,iOS,iOS_3.1,how difficult was it to purchase your product?,difficult,-100,would you recommend Orange?,3,-100
are you happy with you app?,happy,100,2022-12-25 12:14:21,Android,Android_7.0,how difficult was it to purchase your product?,very easy,100,would you recommend Orange?,10,100
are you happy with you app?,happy,100,2022-12-25 12:48:10,Android,Android_7.0,how difficult was it to purchase your product?,very easy,100,would you recommend Orange?,10,100
are you happy with you app?,neutral,0,2022-12-25 18:10:47,iOS,iOS_3.1,how difficult was it to purchase your product?,neutral,0,would you recommend Orange?,7,0
are you happy with you app?,very happy,100,2022-12-25 17:43:52,Android,Android_7.0,how difficult was it to purchase your product?,easy,100,would you recommend Orange?,10,100
are you happy with you app?,very happy,100,2022-12-25 07:29:04,iOS,iOS_3.1,how difficult was it to purchase your product?,easy,100,would you recommend Orange?,9,100
are you happy with you app?,happy,100,2022-12-25 08:19:03,iOS,iOS_3.1,how difficult was it to purchase your product?,easy,100,would you recommend Orange?,10,100
are you happy with you app?,very happy,100,2022-12-25 12:00:16,Web,Web_5.5,how difficult was it to purchase your product?,easy,100,would you recommend Orange?,9,100
are you happy with you app?,very happy,100,2022-12-25 13:11:50,Android,Android_7.0,how difficult was it to purchase your product?,easy,100,would you recommend Orange?,9,100
are you happy with you app?,neutral,0,2022-12-25 17:10:35,iOS,iOS_3.1,how difficult was it to purchase your product?,neutral,0,would you recommend Orange?,9,100
are you happy with you app?,happy,100,2022-12-25 07:53:43,Web,Web_5.5,how difficult was it to purchase your product?,very easy,100,would you recommend Orange?,9,100
are you happy with you app?,neutral,0,2022-12-25 18:49:50,Android,Android_7.0,how difficult was it to purchase your product?,neutral,0,would you recommend Orange?,8,0
are you happy with you app?,neutral,0,2022-12-25 13:20:51,Android,Android_7.0,how difficult was it to purchase your product?,neutral,0,would you recommend Orange?,7,0
